Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
DABUR,EQ,24-May-24,559.95,559,564.9,554.05,556.5,558.1,559.82,"28,05,803","1,57,07,53,236.85","40,456","16,45,328",58.64
DABUR,EQ,27-May-24,558.1,559.85,571,559.8,566.4,567.4,567.51,"31,69,943","1,79,89,68,566.80","46,349","14,52,941",45.83
DABUR,EQ,28-May-24,567.4,570,578.9,564.55,567,570.8,571.33,"44,29,603","2,53,07,71,912.35","64,543","21,76,249",49.13
DABUR,EQ,29-May-24,570.8,570.8,570.8,553.05,555,555.45,558,"26,20,387","1,46,21,88,298.70","43,165","18,53,084",70.72
DABUR,EQ,30-May-24,555.45,555.45,557.4,549.35,551.9,551.15,552.19,"15,91,522","87,88,24,629.30","42,071","9,96,517",62.61
DABUR,EQ,31-May-24,551.15,552.05,554.5,540.55,553,545.1,545.57,"1,11,92,196","6,10,61,58,141.10","84,395","90,09,144",80.49
DABUR,EQ,03-Jun-24,545.1,560,561.2,543,545.5,544.8,548,"28,36,670","1,55,44,93,235.75","57,498","18,89,997",66.63
DABUR,EQ,04-Jun-24,544.8,548.45,584.45,536.75,580,578.2,566.61,"1,74,58,506","9,89,21,33,170.85","2,96,042","73,27,122",41.97
DABUR,EQ,05-Jun-24,578.2,585,633.4,584.5,599.8,600.25,611.96,"2,15,68,184","13,19,87,93,702.75","3,69,995","1,07,19,112",49.7
DABUR,EQ,06-Jun-24,600.25,600.25,605.3,582.05,598.15,597.2,590.41,"75,98,586","4,48,62,81,539.15","1,46,737","38,76,866",51.02
DABUR,EQ,07-Jun-24,597.2,599.45,614.8,598.15,612.05,613.1,609.43,"54,29,725","3,30,90,14,913.45","1,20,904","31,56,502",58.13
DABUR,EQ,10-Jun-24,613.1,604.2,627.45,604.2,619.05,619.85,616.54,"51,80,578","3,19,40,29,167.00","1,18,321","23,10,204",44.59
DABUR,EQ,11-Jun-24,619.85,619.85,622.95,608,615.5,613.45,615.48,"37,28,825","2,29,50,32,749.55","84,948","24,59,493",65.96
DABUR,EQ,12-Jun-24,613.45,614.15,623,611.75,620.45,619.5,619.17,"45,28,718","2,80,40,49,143.85","1,52,381","29,65,265",65.48
DABUR,EQ,13-Jun-24,619.5,612,614.55,588.15,608.3,609.65,606.5,"79,63,596","4,82,99,11,107.55","96,356","39,07,050",49.06
DABUR,EQ,14-Jun-24,609.65,610.95,618.8,606,609,608.65,611.88,"19,75,440","1,20,87,35,085.45","43,558","10,38,333",52.56
DABUR,EQ,18-Jun-24,608.65,608.1,613.75,598,599.85,600.2,601.4,"43,04,663","2,58,88,26,758.55","66,852","29,45,552",68.43
DABUR,EQ,19-Jun-24,600.2,602,603.1,594,597.55,598.55,598.87,"17,03,051","1,01,99,00,600.60","46,309","7,96,985",46.8
DABUR,EQ,20-Jun-24,598.55,598.5,604.9,595,600.9,600.75,601.44,"28,86,298","1,73,59,33,622.65","41,189","19,42,645",67.31
DABUR,EQ,21-Jun-24,600.75,601,603.9,588.55,591.95,589.95,595.42,"38,68,601","2,30,34,60,436.65","52,978","27,63,833",71.44
DABUR,EQ,24-Jun-24,589.95,590.75,602.45,588.85,601.4,599.75,596.66,"17,74,168","1,05,85,78,226.80","41,511","9,31,838",52.52
DABUR,EQ,25-Jun-24,599.75,603.8,603.95,592.5,594,593.35,596.69,"17,91,877","1,06,91,89,242.05","54,462","9,53,795",53.23
DABUR,EQ,26-Jun-24,593.35,591.4,603,590.3,602.75,601.8,600.19,"22,30,523","1,33,87,38,949.90","57,902","13,28,798",59.57
DABUR,EQ,27-Jun-24,601.8,602,606,595.05,602,599.3,599.81,"24,05,121","1,44,26,20,017.05","61,415","10,66,300",44.33
DABUR,EQ,28-Jun-24,599.3,601.8,609.65,597.65,600,600.7,604,"17,10,529","1,03,31,64,276.15","48,508","8,34,702",48.8
DABUR,EQ,01-Jul-24,600.7,600.7,613.25,600.7,610.2,610.95,609.12,"24,69,588","1,50,42,76,777.05","65,739","10,10,044",40.9
DABUR,EQ,02-Jul-24,610.95,616.8,616.8,602,603.75,602.8,607.65,"39,19,339","2,38,16,04,113.75","70,798","29,66,167",75.68
DABUR,EQ,03-Jul-24,602.8,607,613.3,605,609.8,609.7,608.54,"17,86,017","1,08,68,62,469.40","48,070","9,76,899",54.7
DABUR,EQ,04-Jul-24,609.7,609.8,613.6,605.05,605.55,605.95,609.58,"22,77,423","1,38,82,81,412.80","53,737","15,07,272",66.18
DABUR,EQ,05-Jul-24,605.95,604,607.95,603.25,606.45,606.45,606.01,"8,79,215","53,28,10,687.80","27,743","4,48,586",51.02
